"time","wallTime","wc2.P.x [m]","wc2.P.v [m/s]","wc2.P.F [N]","wc1.P.x [m]","wc1.P.v [m/s]","wc1.P.F [N]"
0,2.2767e-05,0,0,0,0,0,0
0.0005,1.62534,0,0,0,0,0,0
0.002,1.62648,0,0,0,0,0,0
0.004,1.62769,0,0,0,0,0,0
0.006,1.62893,0,0,0,0,0,0
0.008,1.63009,0,0,0,0,0,0
0.01,1.63123,0,0,0,0,0,0
0.012,1.63244,0,0,0,0,0,0
0.014,1.63358,0,0,0,0,0,0
0.016,1.63482,0,0,0,0,0,0
0.018,1.63602,0,0,0,0,0,0
0.02,1.63715,0,0,0,0,0,0
0.022,1.63835,0,0,0,0,0,0
0.024,1.63957,0,0,0,0,0,0
0.026,1.64127,0,0,0,0,0,0
0.028,1.64275,0,0,0,0,0,0
0.03,1.64419,0,0,0,0,0,0
0.032,1.64521,0,0,0,0,0,0
0.034,1.64621,0,0,0,0,0,0
0.036,1.64718,0,0,0,0,0,0
0.038,1.64828,0,0,0,0,0,0
0.04,1.64936,0,0,0,0,0,0
0.042,1.65056,0,0,0,0,0,0
0.044,1.65174,0,0,0,0,0,0
0.046,1.6529,0,0,0,0,0,0
0.048,1.65407,0,0,0,0,0,0
0.05,1.65521,0,0,0,0,0,0
0.052,1.65642,0,0,0,0,0,0
0.054,1.65759,0,0,0,0,0,0
0.056,1.65878,0,0,0,0,0,0
0.058,1.65999,0,0,0,0,0,0
0.06,1.66122,0,0,0,0,0,0
0.062,1.66244,0,0,0,0,0,0
0.064,1.66379,0,0,0,0,0,0
0.066,1.66502,0,0,0,0,0,0
0.068,1.66622,0,0,0,0,0,0
0.07,1.66743,0,0,0,0,0,0
0.072,1.66871,0,0,0,0,0,0
0.074,1.66994,0,0,0,0,0,0
0.076,1.67116,0,0,0,0,0,0
0.078,1.67243,0,0,0,0,0,0
0.08,1.6737,0,0,0,0,0,0
0.082,1.67496,0,0,0,0,0,0
0.084,1.67626,0,0,0,0,0,0
0.086,1.67752,0,0,0,0,0,0
0.088,1.67888,0,0,0,0,0,0
0.09,1.68017,0,0,0,0,0,0
0.092,1.68146,0,0,0,0,0,0
0.094,1.68276,0,0,0,0,0,0
0.096,1.68416,0,0,0,0,0,0
0.098,1.68549,0,0,0,0,0,0
0.1,1.68687,0,0,0,0,0,0
0.102,1.68826,0,0,0,2.5e-06,0.0099975,-0.099975
0.104,1.6897,0,2.5e-07,0.224773,3.74625e-05,0.0299376,-0.349363
0.106,1.69113,2.56112e-09,4.18328e-06,0.617209,0.000112243,0.0497904,-0.735024
0.108,1.69253,1.79589e-08,1.54506e-05,1.16542,0.000226648,0.0695288,-1.28412
0.11,1.69395,6.33224e-08,3.72725e-05,1.8678,0.000380425,0.089122,-1.99151
0.112,1.69542,1.6214e-07,7.28078e-05,2.72763,0.000573262,0.108539,-2.85197
0.114,1.69691,3.44158e-07,0.000125159,3.74291,0.000804783,0.12775,-3.86369
0.116,1.69839,6.453e-07,0.000197382,4.90931,0.00107455,0.146724,-5.02698
0.118,1.69989,1.10758e-06,0.000292495,6.22367,0.00138207,0.165431,-6.34037
0.12,1.70142,1.77903e-06,0.000413473,7.68431,0.00172679,0.183842,-7.80043
0.122,1.70295,2.71358e-06,0.000563237,9.28918,0.0021081,0.201929,-9.40357
0.124,1.70451,3.97095e-06,0.000744646,11.0351,0.00252531,0.219662,-11.1469
0.126,1.70606,5.61653e-06,0.000960492,12.9182,0.00297771,0.237016,-13.0276
0.128,1.70787,7.72125e-06,0.0012135,14.9349,0.00346452,0.253962,-15.0421
0.13,1.71001,1.03614e-05,0.00150631,17.0816,0.0039849,0.270476,-17.1866
0.132,1.71209,1.36186e-05,0.0018415,19.3545,0.00453796,0.286531,-19.4569
0.134,1.71405,1.75795e-05,0.00222156,21.7493,0.00512278,0.302104,-21.8488
0.136,1.71606,2.23355e-05,0.00264886,24.2615,0.00573837,0.317172,-24.3581
0.138,1.71801,2.7983e-05,0.00312573,26.8864,0.0063837,0.33171,-26.9801
0.14,1.7201,3.46226e-05,0.00365434,29.6194,0.0070577,0.345699,-29.71
0.142,1.72198,4.23596e-05,0.00423682,32.4553,0.00775926,0.359117,-32.5427
0.144,1.72387,5.13031e-05,0.00487514,35.3892,0.00848721,0.371945,-35.4732
0.146,1.72559,6.15663e-05,0.0055712,38.4155,0.00924036,0.384165,-38.496
0.148,1.72741,7.32659e-05,0.00632676,41.5289,0.0100175,0.395758,-41.6059
0.15,1.72924,8.65223e-05,0.00714347,44.7237,0.0108173,0.40671,-44.7971
0.152,1.7311,0.000101459,0.00802288,47.9941,0.0116386,0.417004,-48.0638
0.154,1.73294,0.000118202,0.00896639,51.3344,0.0124799,0.426627,-51.4002
0.156,1.73482,0.000136881,0.00997528,54.7384,0.01334,0.435566,-54.8004
0.158,1.73666,0.000157628,0.0110507,58.2001,0.0142174,0.443809,-58.2581
0.16,1.73863,0.000180576,0.0121937,61.7133,0.0151108,0.451347,-61.7674
0.162,1.74051,0.000205861,0.0134052,65.2718,0.0160187,0.45817,-65.3218
0.164,1.74242,0.000233621,0.0146859,68.8691,0.0169397,0.46427,-68.915
0.166,1.74426,0.000263995,0.0160365,72.499,0.0178724,0.469641,-72.5408
0.168,1.74619,0.000297123,0.0174575,76.1549,0.0188153,0.474279,-76.1925
0.17,1.7478,0.000333146,0.0189491,79.8304,0.0197669,0.478178,-79.8639
0.172,1.74969,0.000372205,0.0205117,83.519,0.0207257,0.481336,-83.5483
0.174,1.7515,0.000414442,0.0221453,87.2142,0.0216903,0.483753,-87.2393
0.176,1.75335,0.00046,0.0238498,90.9095,0.0226592,0.485427,-90.9304
0.178,1.75532,0.00050902,0.0256251,94.5984,0.0236309,0.486361,-94.6152
0.18,1.75742,0.000561644,0.0274708,98.2744,0.0246038,0.486557,-98.287
0.182,1.75928,0.000618011,0.0293864,101.931,0.0255767,0.486018,-101.94
0.184,1.76122,0.000678262,0.0313713,105.562,0.0265479,0.484751,-105.566
0.186,1.76316,0.000742534,0.0334249,109.161,0.027516,0.482761,-109.161
0.188,1.7651,0.000810964,0.0355461,112.722,0.0284796,0.480056,-112.718
0.19,1.76717,0.000883687,0.037734,116.238,0.0294372,0.476645,-116.23
0.192,1.76911,0.000960835,0.0399874,119.703,0.0303876,0.472539,-119.691
0.194,1.77118,0.00104254,0.042305,123.112,0.0313292,0.467747,-123.096
0.196,1.77327,0.00112892,0.0446856,126.458,0.0322607,0.462284,-126.439
0.198,1.7753,0.00122012,0.0471274,129.736,0.0331807,0.456162,-129.713
0.2,1.77739,0.00131624,0.0496288,132.94,0.0340881,0.449397,-132.914
0.202,1.77947,0.00141741,0.0521882,136.065,0.0349814,0.442005,-136.035
0.204,1.78156,0.00152374,0.0548035,139.105,0.0358595,0.434001,-139.071
0.206,1.78368,0.00163534,0.0574729,142.055,0.0367212,0.425405,-142.018
0.208,1.78578,0.00175232,0.0601941,144.911,0.0375652,0.416235,-144.87
0.21,1.78789,0.00187477,0.0629649,147.666,0.0383905,0.406512,-147.622
0.212,1.78998,0.00200281,0.0657831,150.317,0.0391959,0.396255,-150.27
0.214,1.79221,0.00213652,0.0686462,152.859,0.0399804,0.385488,-152.809
0.216,1.79438,0.00227598,0.0715516,155.288,0.040743,0.374232,-155.235
0.218,1.79647,0.00242129,0.0744969,157.599,0.0414827,0.362511,-157.544
0.22,1.79876,0.00257251,0.0774792,159.79,0.0421987,0.35035,-159.732
0.222,1.80097,0.00272973,0.0804958,161.856,0.04289,0.337772,-161.796
0.224,1.80311,0.002893,0.0835439,163.794,0.0435559,0.324805,-163.732
0.226,1.80548,0.00306239,0.0866205,165.601,0.0441956,0.311473,-165.536
0.228,1.80775,0.00323796,0.0897227,167.273,0.0448083,0.297805,-167.207
0.23,1.81002,0.00341974,0.0928473,168.809,0.0453935,0.283827,-168.741
0.232,1.81226,0.00360779,0.0959914,170.205,0.0459505,0.269566,-170.136
0.234,1.81454,0.00380214,0.0991516,171.461,0.0464788,0.255053,-171.39
0.236,1.81684,0.00400282,0.102325,172.573,0.0469779,0.240314,-172.5
0.238,1.8191,0.00420986,0.105508,173.539,0.0474473,0.225379,-173.466
0.24,1.82139,0.00442327,0.108698,174.36,0.0478868,0.210278,-174.286
0.242,1.82369,0.00464306,0.11189,175.033,0.0482959,0.195039,-174.958
0.244,1.82603,0.00486923,0.115083,175.558,0.0486745,0.179693,-175.482
0.246,1.82845,0.00510179,0.118272,175.934,0.0490223,0.164269,-175.857
0.248,1.83082,0.00534072,0.121454,176.16,0.0493393,0.148797,-176.083
0.25,1.83322,0.00558601,0.124626,176.237,0.0496253,0.133308,-176.16
0.252,1.83561,0.00583764,0.127785,176.165,0.0498803,0.11783,-176.088
0.254,1.83807,0.00609556,0.130926,175.944,0.0501043,0.102394,-175.867
0.256,1.84076,0.00635976,0.134048,175.575,0.0502976,0.0870287,-175.498
0.258,1.84322,0.00663018,0.137145,175.059,0.0504602,0.0717645,-174.983
0.26,1.84584,0.00690678,0.140216,174.397,0.0505923,0.05663,-174.321
0.262,1.8482,0.0071895,0.143256,173.591,0.0506943,0.0416543,-173.516
0.264,1.85049,0.00747827,0.146263,172.642,0.0507665,0.0268657,-172.568
0.266,1.853,0.00777303,0.149234,171.553,0.0508093,0.0122925,-171.48
